Hi	UH	hi
express	VB	express
any	DT	any
of	IN	of
this	DT	this
.	SENT	.
So	RB	so
yeah	RB	yeah
…	JJ	<unknown>
I	PP	I
think	VBP	think
things	NNS	thing
are	VBP	be
slowly	RB	slowly
,	,	,
slowly	RB	slowly
moving	VBG	move
in	IN	in
a	DT	a
better	JJR	good
direction	NN	direction
.	SENT	.
