_NAME_,Factor1,Factor2,Factor3,loaded,factor,pole
v000243,0.3135693604,-0.007543776,-0.15916688,1,fac1,1
v000244,0.1073300088,0.3591703811,-0.030266149,1,fac2,1
v000245,0.42580589,0.0861397915,-0.130664655,1,fac1,1
v000246,0.1663012882,0.3162338006,-0.277706193,1,fac2,1
v000247,0.6106383917,0.1845810346,0.0292603883,1,fac1,1
v000248,0.4017291093,0.0732616633,0.0205831791,1,fac1,1
v000249,0.5570887135,-0.065356518,-0.046997804,1,fac1,1
v000250,0.4555504814,-0.015937851,0.0198340746,1,fac1,1
v000251,0.4639449851,-0.091811824,-0.009170726,1,fac1,1
v000252,0.15932896,0.1689989264,0.0625532516,0,,
v000253,0.4130755796,0.2092725574,-0.165798592,1,fac1,1
v000254,0.4698164611,-0.146827734,0.0005590122,1,fac1,1
v000255,0.1976748914,0.283110287,0.2590970296,0,,
v000256,0.1077185985,0.4603545128,-0.098019567,1,fac2,1
v000257,0.4663896278,-0.043581222,0.0640039947,1,fac1,1
v000258,0.4543746427,-0.479439524,-0.079727713,1,fac2,-1
v000259,0.4144263706,-0.095461925,-0.303278761,1,fac1,1
v000260,0.4064176783,-0.1239342,0.0574026192,1,fac1,1
v000261,0.4974573202,0.0703119238,0.0612414457,1,fac1,1
v000262,0.3891581482,0.2400027761,-0.019483512,1,fac1,1
v000263,0.2152640784,-0.158423142,-0.425197915,1,fac3,-1
v000264,0.4549980117,-0.020819129,0.0442192226,1,fac1,1
v000265,0.0239596028,0.2545068342,0.1647291926,0,,
v000266,0.2254434575,0.2049391691,-0.154047581,0,,
v000267,0.3201628868,0.3566069473,-0.054852257,1,fac2,1
v000268,0.6439393236,0.1555272376,0.0839670966,1,fac1,1
v000269,0.3360428839,0.0293875928,-0.139349971,1,fac1,1
v000270,0.1203814538,0.4777348665,0.1160615158,1,fac2,1
v000271,-0.236047999,-0.515136934,-0.648948989,1,fac3,-1
v000272,0.6830504078,-0.462839199,0.0230088565,1,fac1,1
v000273,0.3641524317,0.1418705459,0.0134130166,1,fac1,1
v000274,0.5093020275,0.2624988755,-0.027218175,1,fac1,1
v000275,0.3513947082,0.189958215,-0.085023932,1,fac1,1
v000276,0.0505674248,0.3538053216,-0.012161905,1,fac2,1
v000277,0.5505371866,-0.074519601,0.0066163083,1,fac1,1
v000278,0.455110674,0.1737143561,-0.171279701,1,fac1,1
v000279,-0.103236219,-0.172196907,-0.513102673,1,fac3,-1
v000280,0.1686115946,0.3100406358,-0.0356948,1,fac2,1
v000281,-0.068946282,0.2827739873,0.7932753485,1,fac3,1
v000282,0.6104980544,0.0385808394,0.0230547728,1,fac1,1
v000283,0.3114642948,0.1809773838,-0.18239281,1,fac1,1
v000284,0.540779036,-0.17957564,-0.048546766,1,fac1,1
v000285,0.3029734947,-0.250663486,-0.1404412,1,fac1,1
v000286,-0.094837118,0.5018948014,0.0170698771,1,fac2,1
v000287,0.2798958624,0.2626226942,0.0979434578,0,,
v000288,0.4342999722,0.1837167233,0.0233026782,1,fac1,1
v000289,0.14037533,0.447643808,-0.020470699,1,fac2,1
v000290,0.3407160459,0.0324961447,0.140153841,1,fac1,1
v000291,0.6214170715,-0.052623271,-0.046198284,1,fac1,1
v000292,0.43295264,-0.011127703,-0.000695306,1,fac1,1
v000293,0.3986228257,0.3028105977,-0.016114781,1,fac1,1
v000294,0.4229555473,0.1840177733,-0.044820224,1,fac1,1
v000295,0.5332220097,0.2444543497,-0.018700975,1,fac1,1
v000296,0.7535662585,-0.033420529,0.0736332273,1,fac1,1
v000297,0.3087011744,0.2264677805,-0.067674522,1,fac1,1
v000298,0.3035896766,0.0707303356,0.147861534,1,fac1,1
